,2024/7/24,毎回データを　４行目以下に新規貼り付ける,,,
,IN,IN,IN,IN,IN
aoiName,Satname,observation_jst_time,offnadir_angl,looking_direction,flight_direction
[AT] Railway_Mine_LSM2,StriX-3,2024/6/23 7:54,31.449934,Left,Ascending
[AT] Oita_Miyazaki_LSM2,StriX-3,2024/6/23 7:56,34.254288,Left,Ascending
[AT] AGRI_Ogata,StriX-3,2024/6/23 11:16,24.984813,Left,Ascending
[AT] Naka_Ryugasaki_LSM2,StriX-3,2024/6/23 12:48,38.149138,Left,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/23 17:57,27.229914,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/23 17:57,37.729613,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/23 17:58,43.712296,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/23 17:59,37.329545,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/23 17:59,39.72186,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/23 17:59,37.899747,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/23 17:59,40.263135,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/23 17:59,39.171616,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/23 17:59,40.697772,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/23 17:59,38.089885,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/23 17:59,42.624863,Right,Descending
