,2024/7/24,毎回データを　４行目以下に新規貼り付ける,,,
,IN,IN,IN,IN,IN
aoiName,Satname,observation_jst_time,offnadir_angl,looking_direction,flight_direction
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/19 23:41,30.706051,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/19 23:41,26.958988,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/19 23:41,33.456288,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/19 23:42,41.301903,Right,Descending
[AT] Oita_Miyazaki_LSM2,StriX-1,2024/6/20 2:51,21.486397,Left,Descending
[AT] AGRI_Ogata,StriX-1,2024/6/20 7:30,27.859295,Right,Descending
[AT] Saga_Hakata_LSM2,StriX-1,2024/6/20 7:33,43.052631,Left,Descending
[AT] AGRI_Ogata,StriX-1,2024/6/20 9:04,43.761953,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/20 23:31,28.865448,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/20 23:31,39.441701,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/20 23:32,39.171561,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/20 23:33,41.568023,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/20 23:33,39.766148,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/20 23:33,42.115809,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/20 23:33,42.545803,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/20 23:33,41.039229,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/20 23:33,39.972053,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/20 23:33,44.444513,Right,Descending
[AT] Ishikawa_Wajima_SM2,StriX-1,2024/6/21 1:08,16.858499,Right,Descending
[AT] AGRI_Ogata,StriX-1,2024/6/21 7:21,33.880586,Right,Descending
[AT] Saga_Hakata_LSM2,StriX-1,2024/6/21 7:24,35.815052,Left,Descending
[AT] AGRI_Ogata,StriX-1,2024/6/21 8:56,40.267316,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/21 23:22,40.100444,Right,Descending
[AT] Ishikawa_Wajima_SM2,StriX-1,2024/6/22 1:00,32.772901,Right,Descending
[AT] Railway_Mine_LSM2,StriX-1,2024/6/22 2:36,38.041026,Left,Descending
[AT] AGRI_Ogata,StriX-1,2024/6/22 7:12,39.082662,Right,Descending
[AT] Saga_Hakata_LSM2,StriX-1,2024/6/22 7:16,26.369657,Left,Descending
[AT] AGRI_Ogata,StriX-1,2024/6/22 8:47,36.130647,Left,Descending
[AT] Naka_Ryugasaki_LSM2,StriX-1,2024/6/22 8:51,42.828658,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/23 0:51,40.725025,Left,Descending
[AT] Ishikawa_Wajima_SM2,StriX-1,2024/6/23 0:51,44.039832,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/23 0:51,37.825677,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/23 0:51,43.731873,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/23 0:51,41.915749,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/23 0:51,42.851326,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/23 0:52,42.422924,Left,Descending
[AT] Ishikawa_Suzu_SM2,StriX-1,2024/6/23 0:52,40.715919,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/23 0:52,40.715919,Left,Descending
[AT] Oita_Miyazaki_LSM2,StriX-1,2024/6/23 2:25,29.939526,Right,Descending
[AT] Railway_Mine_LSM2,StriX-1,2024/6/23 2:28,23.304768,Left,Descending
[AT] AGRI_Ogata,StriX-1,2024/6/23 7:04,43.519874,Right,Descending
[AT] AGRI_Ogata,StriX-1,2024/6/23 8:39,31.248156,Left,Descending
[AT] Naka_Ryugasaki_LSM2,StriX-1,2024/6/23 8:43,35.468973,Left,Descending
[AT] AGRI_Ogata,StriX-3,2024/6/17 1:57,26.845904,Right,Descending
[AT] Saga_Hakata_LSM2,StriX-1,2024/6/17 2:00,42.595632,Left,Descending
[AT] AGRI_Ogata,StriX-3,2024/6/17 3:31,43.424006,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/17 4:51,37.729791,Left,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/17 6:24,16.354076,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/17 6:24,21.72111,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/17 6:24,43.055338,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/17 6:24,20.853465,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/17 6:24,32.000872,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/17 6:24,33.593744,Right,Ascending
[AT] Tsukubamirai_Tokyo_LSM2,StriX-3,2024/6/17 7:56,24.685281,Right,Ascending
[AT] Railway_Mine_LSM2,StriX-3,2024/6/17 7:59,21.285773,Left,Ascending
[AT] Oita_Miyazaki_LSM2,StriX-3,2024/6/17 8:02,26.115878,Left,Ascending
[AT] AGRI_Ogata,StriX-3,2024/6/17 11:22,21.093189,Left,Ascending
[AT] Naka_Ryugasaki_LSM2,StriX-3,2024/6/17 12:54,33.037871,Left,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/17 18:03,18.447295,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/17 18:03,30.862811,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/17 18:04,37.986327,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/17 18:04,29.753797,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/17 18:05,40.65293,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/17 18:05,40.545967,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/17 18:05,30.331969,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/17 18:05,32.622308,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/17 18:05,33.245476,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/17 18:05,31.86479,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/17 18:05,33.787194,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/17 18:05,30.491854,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/17 18:05,36.211141,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/17 18:05,43.139595,Right,Descending
[AT] Oita_Miyazaki_LSM2,StriX-3,2024/6/17 21:15,17.572207,Left,Descending
[AT] AGRI_Ogata,StriX-3,2024/6/18 1:56,27.452868,Right,Descending
[AT] Saga_Hakata_LSM2,StriX-3,2024/6/18 1:59,41.940073,Left,Descending
[AT] AGRI_Ogata,StriX-3,2024/6/18 3:31,43.075904,Left,Descending
